14963
a	a.一,一个,一只,一件.
behaviour	n.行为(工作情况,运转状态,特点)
behind	ad.在后地prep.在...之后
beholder	n.旁观者
being	n.人,生物art.在,有,是
bel	贝尔
belgium	n.比利时[欧洲]
belief	n.相信,信念,信仰
believe	v.认为,相信
bell	n.钟,铃
belly	n.腹部
belong	v.属于
beloved	a.心爱的
below	ad.在下面,向下prep.&a.在...下面
belt	n.带,腰带v.用带系上vt.系上腰带
bench	n.长凳,工作台
benchmark	n.水准点(基准点,标准检查程序,测定基准点)
bend	v.弯曲,屈服
beneath	ad.在下方prep.在...之下
beneficial	a.有益的,有利的
beneficiary	n.受惠者,受益人
benefit	n.利益v.获益
benign	a.良性的
bent	a.弯曲的n.爱好,癖好
berry	n.浆果
berth	n.停泊处,睡床
beset	vt.包围,镶嵌
beside	prep.在...旁边
besides	ad.此外prep.除...之外
best	a.最好的ad.最好地
bet	n.打赌,赌注v.打赌vbl.打赌
bethune	n.白求恩
betray	v.出卖,背叛
better	a.较好的,更好的ad.更好地
between	ad.在中间prep.在...之间
beverage	n.饮料
beware	v.小心,谨防
bewilder	v.使...不知所措
bewildering	a.令人困惑的,使人混乱的
beyond	ad.在更远处n.远处prep.超出；越过
bias	n.偏见
bible	n.圣经,有权威的书
bibliography	n.(有关某一专题的)书目,参考书目
biceps	n.二头肌
bicycle	n.自行车v.骑自行车
bid	n.出价v.命令,吩咐,投标
bidder	n.出价人,投标人
big	a.大的
bike	n.脚踏车
bilateral	a.双边的
biliary	a.胆的,胆汁的
bilingual	a.双语的
bill	比尔(男名)n.帐单,钞票,票据,清单,议案,法案,广告,鸟嘴,喙vt.开帐单,用海报宣传,把...列成表
billing	记帐,编制帐单
billion	num.&n.十亿
bin	n.箱柜n.[计算机]DOS文件名:二进制目标文件
binary	a.二进位的,二元的
binaural	双声道的
bind	v.绑,约束,装订
binder	n.缚者,用以绑缚之物,夹器
binding	n.装订vbl.绑
biochemical	a.生物化学的
biochemistry	n.生物化学
biography	n.传记
biological	a.生物学的
biology	n.生物学
bionics	n.生体工学
biotechnology	n.生物技术
bipolar	双极的
bird	n.鸟
birth	n.出身,血统,出生,诞生,出现,起源
birthday	n.生日
biscuit	n.饼干
bishop	n.主教
bismuth	n.铋
bistable	双稳态
bit	n.一点儿,少量n.钻头,马嚼子,辅币n.位,比特(二进位制信息单位)v.控制
bite	n.咬,一口v.咬
bitmap	位图
bitter	a.苦的,痛苦的
bitterly	ad.怨恨地,悲痛地,残酷地
bitumen	n.沥青
bizarre	a.奇异的
black	a.黑色的n.黑人,黑色v.(使)变黑
blackboard	n.黑板
blackmail	n.勒索v.勒索
blade	n.刀锋,刀口
blame	n.过失,责备v.责备
blank	a.空白的n.空白(处)vi.消失vt.使模糊不清
blanket	n.毛毯
blanking	空白
blast	n.爆破,冲击波,一阵,汽笛声v.爆破,炸掉
blaze	n.火焰,烈火v.燃烧
bleach	n.漂白剂v.变白,漂白
bleak	a.萧瑟的,严寒的,阴郁的
bleed	v.出血,流血
blend	v.混合n.混合物
bless	v.祝福,祈佑
blessed	a.受祝福的
blessing	n.祝福
blind	a.盲目的,瞎的n.百叶窗v.使失明
blindly	ad.轻率地,盲目地,无分别地
blindness	n.盲目,失明,愚昧
blink	v.眨眼
blinking	a.(英俚)该死的,讨厌的,十足的
blip	(缩微胶卷画面上的光点)标志
bloc	n.集团
block	n.街区,木块,石块v.阻塞
blocking	模块化
blonde	a.金黄色或淡色的（指人头发）
blood	n.血,血液
bloodstream	n.血流
bloody	a.血腥的,嗜杀的,非常的
bloom	n.花v.开花
blossom	n.花,花开的状态v.开花
blot	n.污点
blouse	n.女衬衫
blow	n.吹,打击,殴打v.吹,风吹
blower	风扇
blue	a.蓝色的,沮丧的,忧郁的n.蓝色
blueprint	n.蓝图,设计图,(周详的)计划v.制成蓝图,计划
blunder	n.大错,大失策v.失策,绊倒,弄糟
blunt	a.钝的a.直爽的vt.使变钝
blur	v.使...模糊
blurry	a.视力模糊的
blush	v.脸红
board	n.木板,甲板,董事会vi.登(飞机、车、船等)
boards	板纸纸板
boast	n.吹牛v.吹牛,自夸
boat	n.船v.划船
body	n.身体,主体,正文ad.亲身地
boil	v.沸腾,煮沸vi.沸腾vt.煮沸
boiler	n.锅炉
bold	a.大胆的,粗体的,醒目的
boldface	黑体字
bolt	n.门闩,突发,螺钉vt.闩住vi.冲出去,急逃
bomb	n.炸弹v.轰炸vt.投弹,轰炸
bombard	v.炮击
bomber	n.轰炸机
bombshell	n.引起震惊的人或事,出人意料的人或事
bond	n.结合,债券,粘结剂，粘合剂
bonded	a.以债券作保证的,有担保的,存入保税仓库的
bone	n.骨,骨骼v.剔去(鱼等的)骨
bonus	n.红利,奖金
book	n.书v.登记,预订
bookcase	n.书架,书柜
booked	pp.登记
booking	n.记入,预约,登台契约
bookkeeper	n.簿记员
bookmark	n.书签
books	账册
bookstall	n.书报摊
bookstore	n.书店
boolean	布尔
boom	n.繁荣,隆隆声v.急速发展
boost	n.推进,支援v.推进,提高
boot	n.靴子,[英]汽车行李箱vt.踢
bootable	可引导的,可启动的
booth	n.电话亭,货摊
booting	启动
bootstrap	引导指令(程序),辅助程序
border	n.边缘v.作...之疆界,加边
bore	n.令人讨厌的人，枪膛，孔v.使烦扰,钻孔
bored	a.厌烦的,无聊的
boring	a.令人厌烦的n.钻孔
born	a.天生的vbl.出生
borrow	v.借,借入,借用
borrowing	n.借款,贷款
bosom	n.胸部
boss	n.老板,上司v.指挥,控制
boston	n.波士顿(美国城市)
both	a.两者的ad.两者都int.两者
bother	v.烦扰
bothersome	a.讨厌的
bottle	n.瓶子
bottleneck	n.瓶颈
bottom	n.底部;屁股，臀部a.底部的
bough	n.大树枝
bounce	n.跳,反跃,弹力v.弹跳,使...跳
bound	n.跳跃,界限,范围a.受约束的,装订的,有义务的v.跳跃
boundary	n.分界线,边界
bounds	n.界限
bounty	n.慷慨,宽大,恩惠
bouquet	n.花束n.酒香
boutique	n.专卖流行衣服的小商店
bow	n.弓,船头,鞠躬v.鞠躬,弯腰
bowel	n.肠
bowl	n.碗v.打保龄球vt.把(球)投向球瓶
bowling	n.保龄球
box	n.盒子,箱v.装...入盒中
boxing	n.拳击
boy	n.男孩
boycott	v.抵制（贸易）；不参加。
bpi	每英寸位数
brace	n.支柱,曲柄,大括号v.绷紧,顶住,（为困难或坏事）做准备
brachial	a.臂的,上臂的
bracket	n.支架,括号
bracketed	加括号的
brackets	括号,大括号
brain	n.脑(子)v.打...的脑袋
brainstorm	v.集体自由讨论vi.动脑筋,出主意,想办法,献计献策vt.集思广益以寻找(解决难题的方法等)
brake	n.煞车v.煞车
branch	n.分枝,树枝v.分枝vi.分支
branches	授
branching	分支（的）
brand	n.商标,牌子,烙印v.打烙印,铭刻
brandy	n.白兰地酒
brashness	n.莽撞,无礼,轻率
brass	n.黄铜
brave	a.勇敢的v.勇敢地面对(危险等)vt.抵抗
bravery	n.勇敢
breach	n.裂口,违背
bread	n.面包
breadth	n.宽度
break	n.休息,中断,破裂v.打破,弄破,弄坏
breakdown	n.崩溃,故障
breakfast	n.早餐v.(吃早餐vi.进早餐
breakpoint	断点
breakthrough	n.突破
breast	n.胸脯,乳房vt.挺胸迎...而上
breath	n.呼吸,气息
breathe	呼吸
breed	n.品种,族类v.养育,繁殖,引起
breeze	n.微风,轻而易举的事
breve	短音符号
brew	n.酿造酒,蕴酿v.酿造,蕴酿
bribe	n.贿赂v.贿赂
brick	a.砖似的n.砖v.用砖围砌,用砖填补vt.(up)用砖砌,用砖堵住
bride	n.新娘
bridegroom	n.新郎
bridge	n.桥v.渡过,架桥
bridges	布里奇斯
bridging	桥接的
brief	n.摘要,简报,公事包a.简短的,简洁的v.对...作简报,摘要
briefcase	n.公文包
briefly	ad.简短地
bright	a.明亮的,阳光的ad.亮
brighten	v.变亮,使...生辉
brightness	n.光亮,明亮,聪明
brilliant	a.灿烂的,有才气的,杰出的
brilliantly	ad.辉煌地,光亮地,灿烂地
brim	n.边,边缘,(河)边v.满,使...盈
bring	v.带来
brink	n.边缘
brisk	a.敏锐的,凛冽的a.活泼的，活跃的,快的
britain	n.不列颠,英国
british	a.英国的n.英国人
brittle	a.易碎的
broad	a.宽广的
broadband	宽频带,宽带
broadcast	n.广播,广播节目a.广播的v.广播
brochure	n.小册子
broke	a.一文不名的v.打破,断掉
broken	a.坏掉的,打破的,断掉的vbl.打破,弄坏
broker	n.经纪人v.作为中间人来安排
brokerage	n.经纪人(或中间人)业务,佣金,回扣
bronchial	a.支气管的
bronchitis	n.支气管炎
bronchus	n.支气管
bronze	a.青铜色的n.青铜v.青铜,青铜色,青铜器vi.使成青铜色
brood	n.窝v.孵,沉思
brook	n.小河,溪v.容忍,忍受vt.[常用于否定句或疑问句]容忍
broom	n.扫帚
brother	n.兄弟
brow	n.眉毛,额
brown	a.褐色的,棕色的n.褐色,棕色(姓)布朗
brownish	a.带褐色的
browse	v.浏览,吃草
browser	n.吃嫩叶的动物,浏览书本的人
bruise	n.瘀伤,擦伤v.受伤,擦伤
brush	n.刷子,画笔v.刷,画
brutal	a.野蛮的
bubble	n.泡沫
buck	n.钱
bucket	n.水桶
buckle	n.皮带扣
bud	n.芽,花蕾v.发芽,萌芽
buddha	n.佛佗
buddhism	n.佛教
budget	n.预算v.编预算,为…做预算
buffalo	n.水牛
buffer	n.缓冲,缓冲区
buffering	中间转换(寄存),缓冲记忆装置
buffet	n.自助餐v.打击vt.连续猛击
bug	n.小虫,臭虫v.装置窃听器,打扰
build	v.建立,建筑
builder	n.建立者
building	n.建筑物
bulb	n.电灯泡,球状物
bulge	n.胀,膨胀v.凸出,使...膨胀
bulk	n.大部分,大多数,大块,大批,容积,体积vi.越来越大vt.(使)更大
bull	a.大型(的),公牛(似的),雄性(的)n.公牛
bullet	n.子弹
bulletin	n.公报vt.发表
bullets	n.弹药,军火
bullish	a.似牡牛的,看涨的,上扬的
bully	n.欺凌弱小者,土霸,开球v.威胁,恐吓,欺负
bump	n.撞击,隆起物v.碰撞,颠簸而行
bumper	n.缓冲挡,满杯,丰收
bunch	n.一串,一束v.使捆成束,挤成一群vi.集中vt.使成一束(或一群等)
bundle	n.捆,束
bungalow	n.平房
bunk	n.铺位(座床,床铺)vt为...提供卧铺
buoyant	a.有浮力的,心情愉快的
burden	n.负担,重载v.使负重,装载,烦扰
bureau	n.局,办公处
bureaucracy	n.官僚政治
burgeon	n.芽,嫩枝v.萌芽,发芽
burglar	n.窃贼
burial	n.埋葬
burn	n.烧伤,灼伤v.燃烧,烧着,烧毁,灼伤
burrow	n.(兔子等)所掘的地洞v.挖洞vi.翻寻,挖洞vt.挖掘(洞穴),钻进
burst	n.破裂,阵,爆发v.爆裂,突发
bury	v.埋葬
bus	n.公共汽车
buses	n.公共汽车
bush	n.灌木,灌木丛
business	n.商业,生意,事务
businessman	n.商人
bust	n.半身像,胸部,萧条,破产,不景气
bustle	n.扰嚷v.奔忙,催促
busy	a.忙的,繁忙的v.使忙于
but	ad.仅仅,只conj.但是prep.除...以外
butcher	n.屠夫,肉商,小贩
butter	n.奶油
butterfly	n.蝴蝶
button	n.钮扣,按钮v.扣住
buy	n.购买,买卖v.买
buyer	n.买主,买方
buzz	n.嗡嗡声v.发出嗡嗡声
buzzer	n.翁翁作声的东西,蜂音器,信号手
by	prep.被,经由,在...之前
bye	int.再见
bypass	v.绕开,忽视n.支路，旁道
byproduct	n.副产品
byte	字节,8位元组
cab	n.出租汽车v.乘出租车vi.乘出租马车
cabbage	n.卷心菜,洋白菜
cabin	n.船舱,机舱,小木屋
cabinet	n.橱柜,内阁
cable	n.电缆,海底电报v.打海底电报
cabling	布线
cache	n.隐藏所,隐藏的粮食或物资,贮藏物v.隐藏
cad	n.卑鄙的男人,下流人n.计算机辅助设计计算机存取装置
caddy	盒,箱
cadre	n.干部
cafe	n.咖啡馆
cafeteria	n.自助餐厅
cage	n.笼子v.关入笼中vt.把...关入笼内
cai	计算机辅助教学
cake	n.蛋糕
cal	计算机辅助学习
calamity	n.灾难,不幸事件
calcium	n.钙
calculate	v.计算,考虑,计划
calculation	n.计算
calculator	n.计算器
calendar	n.日历,月历,日程表
calf	n.小牛,小牛皮,腓肠：小腿后背的肌肉块，主要由腓肠肌形成
calibrate	v.测定口径,查看刻度,划刻度校正
call	n.呼叫,访问,打电话v.呼叫,访问,打电话n.[计算机]DOS命令:从当前运行的批文件中引用第二个批文件,然后返回到原来的批文件
callback	回叫(回答)信号
caller	n.打电话的人
calling	n.职业,行业,邀请召集
callous	a.麻木的,无情的,坚硬的
calm	n.平稳,风平浪静a.平静的,冷静的v.平静下来,镇静
calorie	n.卡(热量单位)
calory	n.卡
cam	计算机辅助制造
camcorder	便携式摄像机,摄录机
camel	n.骆驼
camera	n.照相机
camp	n.露营,帐棚v.露营,扎营
campaign	n.战役,运动,活动v.参加活动,参加竞选
campus	n.(大学)校园
can	v.开罐conj.能,可以n.罐头
canada	n.加拿大
canadian	a.加拿大(人)的n.加拿大人
canal	n.运河,沟渠
cancel	n.取消,撤消v.取消,删去
cancer	n.癌
candidate	n.候选人,求职者
candle	n.蜡烛
candy	n.糖果
cane	n.手杖,细长的茎,藤条v.以杖击,以藤编制的
cannon	n.大炮vi.开炮
canoe	n.独木舟,轻舟v.乘独木舟
canteen	n.食堂
canvas	n.帆布
canvasser	n.挨户推销商品的推销员
cap	n.帽子,盖子v.给戴帽,覆盖于…顶端
capability	n.能力,才能,性能,容量
capable	a.有能力的
capacitance	n.电容
capacitor	n.电容器
capacity	n.能力,容量,容积
cape	n.岬,海角,披肩
capillary	n.毛细管a.毛状的,毛细管的
capital	n.首都,首府,大写字母,资产a.首都的,重要的
capitalism	n.资本主义
capitalized	大写的
capitation	n.人头税,每人均摊费
capstan	主动轮
capsule	n.胶囊,太空舱
captain	n.船长v.率领,指挥
caption	n.说明,字幕,标题v.加上标题,加上说明
captive	n.俘虏,迷恋者a.被俘的,被迷住的
capture	n.抓取,战利品,捕获之物v.抓取,获得,迷住
car	n.小汽车
caravan	n.旅行队,有篷顶的大车
carbohydrate	n.碳水化合物,醣
carbon	n.碳,复写纸
carbonic	a.碳的,由碳得到的
card	n.卡片
cardiac	n.强心剂,强胃剂a.心脏的,(胃的)喷门
cardinal	n.枢机主教,鲜红色a.主要的,深红色的
cardiovascular	a.心脏血管的
care	n.小心,照料,忧虑v.关心,照顾,喜爱,介意
career	n.生涯,职业
careful	a.小心的,仔细的
carefully	ad.小心地,仔细地
careless	a.粗心的,疏忽的n.不关心的,粗心的[反]attentive
carelessly	ad.不注意地,粗心地
caress	n.爱抚,拥抱v.爱抚,抱,怜爱
caret	n.脱字符号,(^文章中插字使用)
cargo	n.船货,货物
carousel	n,旋转木马
carpenter	n.木匠v.做木工活
carpet	n.地毯,毛毯v.铺以地毯,铺盖
carriage	n.四轮马车,车厢
carrier	n.运送者,媒介物,带菌者
carrot	n.胡萝卜
carry	n.进位,超位v.携带,支持,意味,搬运,拿
cart	n.二轮运货马车v.驾运货马车,用车装载
carton	n.硬纸盒,纸板箱
cartoon	n.动画片vt.为...画漫画
cartridge	n.弹药筒,弹药,一卷软片墨水筒，笔芯
carve	v.雕刻,切
cascade	n.小瀑布v.瀑布似地落下vi.像瀑布般冲下或倾泻
case	n.情形,情况,箱,案例
cash	n.现金v.兑现,付现款
cashier	n.出纳员，收银员
cassette	n.盒式录音带
cast	n.演员阵容,投掷v.投,掷,抛
castle	n.城堡
casual	a.偶然的,随便的,非正式,漫不经心的
casualty	n.变故,伤亡者,伤亡人数
cat	n.猫,猫科动物(CAT)电子计算机横断层扫描
catabolism	n.分解代谢
catalog	n.目录,型录,大学概况手册
catalogue	n.目录,总目v.编入目录
catalyst	n.催化剂
cataract	n.大瀑布,奔流,洪水
catastrophe	n.大灾难,大祸
catch	n.捕捉,陷阱,捕获物v.抓住；赶上,了解,感染
catching	a.易传染的,有魅力的,迷人的vbl.捕捉,接住
category	n.种类,类别
catena	系列
cater	v.备办食物,投合,迎合
cathedral	n.大教堂
catholic	a.天主教的n.天主教徒
cation	正离子,阳离子
cattle	n.牛n.家畜，马，无价值的人，畜牲
causative	a.引起...的
cause	vt.引起n.原因
caustic	a.腐蚀性的,刻薄的
caution	n.小心,慎重,警示v.警告
cautious	a.十分小心的,谨慎的
cave	n.山洞v.(使)凹陷vi.(in)塌落,倒坍
cavity	n.洞,空穴,腔
cease	n.停止v.停止,终了
cedilla	变音符
ceiling	n.天花板
cel	动画序列中的单帧
celebrate	v.庆祝,祝贺,颂扬
celebration	n.典礼,宗教仪式,庆祝会
celebrity	n.名人,著名,著名人士,名声,名誉,社会名流
cell	n.细胞,电池,单人牢房,蜂房
cellar	n.地窖,地下室vt.把...藏入地窑(或酒窑)
cellular	a.细胞的b.手机
celsius	a.摄氏的
cement	n.水泥,接合剂v.接合,用水泥涂
cemetery	n.公墓,墓地
censor	n.检查员,潜意识的抑制,为Freud学派的术语v.检查
census	n.户口普查v.实施统计调查
cent	n.分
centenary	n.一百年a.一百年的
center	n.中心,中央v.集中vi.居中vt.使集中
centering	定中心,置于中心
centigrade	a.分为百度的,摄氏的
centimeter	n.厘米
central	a.中心的,中央的
centre	n.中心v.置于中央
century	n.世纪
ceramic	a.陶器的
cereal	a.谷类(的),谷物(的)n.谷类食物
cerebral	a.脑的
cerebrospinal	a.脑脊髓的
ceremony	n.典礼,仪式,礼节,礼仪
certain	a.一定的pron.某几个,某些肯定的,无疑的,必然发生的
certainly	ad.当然
certainty	n.确定,确实的事情
certificate	n.证(明)书,执照vt.批准
certification	n.证明,保证，鉴定
certify	v.证明,保证
cg	心(动)电图描记器[缩]
chain	n.链,连锁,束缚v.用铁练锁住,束缚,囚禁
chained	链接的
chair	n.椅子,席位,讲座v.担任（某事务）的主席
chairman	n.主席,会长
chalk	n.粉笔v.用粉笔写,记录
challenge	n.挑战v.向...挑战
chamber	n.室,房间,会所,枪膛v.放在枪膛内,关在室内
champagne	n.香槟酒
champion	n.冠军,拥护者v.保卫,拥护
championship	n.冠军赛,冠军
chance	n.机会,意外v.偶然发生,试试看
chancellor	n.英大臣(使馆秘书,首相)
change	n.变化,零钱v.改变
channel	n.通道,频道,海峡v.引导,开导,形成河道
